,idhod,hodnota,ukaz_kod,vzdelani_cis,vzdelani_kod,vek_cis,vek_kod,pohlavi_cis,pohlavi_kod,uzemi_cis,uzemi_kod,sldb_rok,sldb_datum,ukaz_txt,vzdelani_txt,vek_txt,pohlavi_txt,uzemi_txt,uzemi_typ
556460,987553363,22527,3162,1294,14,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,15 - 64 let,žena,Česká republika,stát
556462,987553607,15090,3162,1294,14,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,65 a více let,muž,Česká republika,stát
556463,987553608,6152,3162,1294,14,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,65 a více let,žena,Česká republika,stát
556465,987553489,4258,3162,1294,15,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,15 - 64 let,muž,Česká republika,stát
556466,987553490,4810,3162,1294,15,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,15 - 64 let,žena,Česká republika,stát
556468,987552402,1469,3162,1294,15,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,65 a více let,muž,Česká republika,stát
556469,987552403,2061,3162,1294,15,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,65 a více let,žena,Česká republika,stát
556471,987553374,1125130,3162,5784,105,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,15 - 64 let,muž,Česká republika,stát
556472,987553484,759257,3162,5784,105,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,15 - 64 let,žena,Česká republika,stát
556474,987553726,429106,3162,5784,105,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,65 a více let,muž,Česká republika,stát
556475,987553727,423490,3162,5784,105,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,65 a více let,žena,Česká republika,stát
556477,987553370,545851,3162,5784,121,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,15 - 64 let,muž,Česká republika,stát
556478,987553371,524968,3162,5784,121,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,15 - 64 let,žena,Česká republika,stát
556480,987553615,131114,3162,5784,121,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,65 a více let,muž,Česká republika,stát
556481,987553616,173199,3162,5784,121,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,65 a více let,žena,Česká republika,stát
556483,987553491,62626,3162,1294,202,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,15 - 64 let,muž,Česká republika,stát
556484,987553492,60264,3162,1294,202,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,15 - 64 let,žena,Česká republika,stát
556486,987552404,9606,3162,1294,202,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,65 a více let,muž,Česká republika,stát
556487,987552405,22855,3162,1294,202,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,65 a více let,žena,Česká republika,stát
556489,987553605,16874,3162,1294,203,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,15 - 64 let,muž,Česká republika,stát
556490,987553606,37196,3162,1294,203,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,15 - 64 let,žena,Česká republika,stát
556492,987552518,7250,3162,1294,203,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,65 a více let,muž,Česká republika,stát
556493,987552519,15781,3162,1294,203,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,65 a více let,žena,Česká republika,stát
556495,987553495,255896,3162,1294,900,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,15 - 64 let,muž,Česká republika,stát
556496,987553496,153052,3162,1294,900,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,15 - 64 let,žena,Česká republika,stát
556498,987552408,43979,3162,1294,900,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,65 a více let,muž,Česká republika,stát
556499,987552517,58451,3162,1294,900,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,65 a více let,žena,Česká republika,stát
557173,987552956,2103,3162,1294,1,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557174,987552957,1359,3162,1294,1,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557176,987553309,138,3162,1294,1,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557177,987553310,316,3162,1294,1,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557179,987552948,4511,3162,1294,2,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557180,987552949,3524,3162,1294,2,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557182,987553190,267,3162,1294,2,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557183,987553191,789,3162,1294,2,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557185,987552834,32167,3162,1294,3,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557186,987552945,29688,3162,1294,3,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557188,987553186,2363,3162,1294,3,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557189,987553187,12434,3162,1294,3,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557191,987552830,61807,3162,1294,8,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557192,987552831,70722,3162,1294,8,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557194,987553074,8686,3162,1294,8,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557195,987553075,25618,3162,1294,8,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557197,987552950,7209,3162,1294,11,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557198,987552951,12200,3162,1294,11,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557200,987553192,970,3162,1294,11,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557201,987553193,1321,3162,1294,11,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557203,987552828,32678,3162,1294,12,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557204,987552829,42131,3162,1294,12,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557206,987553072,495,3162,1294,12,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557207,987553073,657,3162,1294,12,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557209,987552826,101847,3162,1294,13,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557210,987552827,118774,3162,1294,13,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557212,987553070,26597,3162,1294,13,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557213,987553071,22746,3162,1294,13,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557215,987552824,10126,3162,1294,14,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557216,987552825,6978,3162,1294,14,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557218,987553068,5704,3162,1294,14,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557219,987553069,2618,3162,1294,14,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557221,987552952,1110,3162,1294,15,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,15 - 64 let,muž,Hlavní město Praha,kraj
557222,987552953,1187,3162,1294,15,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,15 - 64 let,žena,Hlavní město Praha,kraj
557224,987553194,378,3162,1294,15,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,65 a více let,muž,Hlavní město Praha,kraj
557225,987553195,531,3162,1294,15,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání v konzervatoři,65 a více let,žena,Hlavní město Praha,kraj
557227,987552946,72269,3162,5784,105,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557228,987552947,49343,3162,5784,105,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557230,987553188,30202,3162,5784,105,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557231,987553189,36070,3162,5784,105,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nižší střední a střední vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557233,987552832,62784,3162,5784,121,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557234,987552833,60403,3162,5784,121,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557236,987553184,14850,3162,5784,121,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557237,987553185,25153,3162,5784,121,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední odborné vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557239,987552954,5973,3162,1294,202,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,15 - 64 let,muž,Hlavní město Praha,kraj
557240,987552955,6297,3162,1294,202,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,15 - 64 let,žena,Hlavní město Praha,kraj
557242,987553196,1297,3162,1294,202,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,65 a více let,muž,Hlavní město Praha,kraj
557243,987553308,3975,3162,1294,202,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nástavbové vzdělání,65 a více let,žena,Hlavní město Praha,kraj
557245,987553066,3987,3162,1294,203,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,15 - 64 let,muž,Hlavní město Praha,kraj
557246,987553067,6209,3162,1294,203,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,15 - 64 let,žena,Hlavní město Praha,kraj
557248,987553313,982,3162,1294,203,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,65 a více let,muž,Hlavní město Praha,kraj
557249,987553314,2677,3162,1294,203,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Pomaturitní studium,65 a více let,žena,Hlavní město Praha,kraj
557251,987553064,34735,3162,1294,900,1035,1300150064,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,15 - 64 let,muž,Hlavní město Praha,kraj
557252,987553065,20965,3162,1294,900,1035,1300150064,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,15 - 64 let,žena,Hlavní město Praha,kraj
557254,987553311,4890,3162,1294,900,1035,1200659999,102.0,1.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,65 a více let,muž,Hlavní město Praha,kraj
557255,987553312,6253,3162,1294,900,1035,1200659999,102.0,2.0,100,3018,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Nezjištěno,65 a více let,žena,Hlavní město Praha,kraj
557257,987553558,3232,3162,1294,1,1035,1300150064,102.0,1.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,muž,Středočeský kraj,kraj
557258,987553559,2288,3162,1294,1,1035,1300150064,102.0,2.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,žena,Středočeský kraj,kraj
557260,987553800,343,3162,1294,1,1035,1200659999,102.0,1.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,muž,Středočeský kraj,kraj
557261,987553801,819,3162,1294,1,1035,1200659999,102.0,2.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,žena,Středočeský kraj,kraj
557263,987553439,6048,3162,1294,2,1035,1300150064,102.0,1.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,muž,Středočeský kraj,kraj
557264,987553440,4907,3162,1294,2,1035,1300150064,102.0,2.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,žena,Středočeský kraj,kraj
557266,987553685,598,3162,1294,2,1035,1200659999,102.0,1.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,muž,Středočeský kraj,kraj
557267,987553686,2099,3162,1294,2,1035,1200659999,102.0,2.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,žena,Středočeský kraj,kraj
557269,987553435,45719,3162,1294,3,1035,1300150064,102.0,1.0,100,3026,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,15 - 64 let,muž,Středočeský kraj,kraj
